Date,Value,Type
09/04/2023,71,O3
09/05/2023,61,O3
09/06/2023,40,O3
09/07/2023,44,O3
09/08/2023,58,O3
09/09/2023,32,O3
09/10/2023,36,O3
09/11/2023,45,O3
09/12/2023,35,O3
09/13/2023,40,O3
09/14/2023,27,O3
09/15/2023,25,O3
09/16/2023,22,O3
09/17/2023,37,O3
09/18/2023,43,O3
09/19/2023,50,O3
09/20/2023,39,O3
09/21/2023,41,O3
09/22/2023,45,O3
09/23/2023,44,O3
09/24/2023,44,O3
09/25/2023,48,O3
09/26/2023,32,O3
09/27/2023,24,O3
09/28/2023,29,O3
09/29/2023,43,O3
09/30/2023,44,O3
10/01/2023,36,O3
10/02/2023,38,O3
10/03/2023,42,O3
10/04/2023,42,O3
10/05/2023,41,O3
10/06/2023,31,O3
10/07/2023,30,O3
10/08/2023,33,O3
10/09/2023,36,O3
10/10/2023,47,O3
10/11/2023,31,O3
10/12/2023,27,O3
10/13/2023,27,O3
10/14/2023,28,O3
10/15/2023,19,O3
10/16/2023,22,O3
10/17/2023,24,O3
10/18/2023,36,O3
10/19/2023,31,O3
10/20/2023,31,O3
10/21/2023,35,O3
10/22/2023,36,O3
10/23/2023,36,O3
10/24/2023,39,O3
10/25/2023,32,O3
10/26/2023,30,O3
10/27/2023,36,O3
10/28/2023,44,O3
10/29/2023,35,O3
10/30/2023,30,O3
10/31/2023,29,O3
11/01/2023,31,O3
11/02/2023,33,O3
11/03/2023,39,O3
11/04/2023,40,O3
11/05/2023,45,O3
11/06/2023,44,O3
11/07/2023,48,O3
11/08/2023,41,O3
11/09/2023,36,O3
11/10/2023,15,O3
11/11/2023,20,O3
11/12/2023,26,O3
11/13/2023,32,O3
11/14/2023,38,O3
11/15/2023,32,O3
11/16/2023,32,O3
11/17/2023,29,O3
11/18/2023,31,O3
11/19/2023,33,O3
11/20/2023,29,O3
11/21/2023,19,O3
11/22/2023,19,O3
11/23/2023,22,O3
11/24/2023,30,O3
11/25/2023,28,O3
11/26/2023,20,O3
11/27/2023,23,O3
11/28/2023,31,O3
11/29/2023,29,O3
11/30/2023,30,O3
12/01/2023,19,O3
12/02/2023,17,O3
12/03/2023,25,O3
12/04/2023,31,O3
12/05/2023,27,O3
12/06/2023,22,O3
12/07/2023,20,O3
12/08/2023,32,O3
12/09/2023,19,O3
12/10/2023,19,O3
12/11/2023,19,O3
12/12/2023,23,O3
12/13/2023,21,O3
12/14/2023,32,O3
12/15/2023,31,O3
12/16/2023,29,O3
12/17/2023,22,O3
12/18/2023,29,O3
12/19/2023,26,O3
12/20/2023,26,O3
12/21/2023,31,O3
12/22/2023,31,O3
12/23/2023,33,O3
12/24/2023,32,O3
12/25/2023,27,O3
12/26/2023,9,O3
12/27/2023,20,O3
12/28/2023,26,O3
12/29/2023,21,O3
12/30/2023,18,O3
12/31/2023,29,O3
01/01/2023,6,CO
01/02/2023,11,CO
01/03/2023,2,CO
01/04/2023,6,CO
01/05/2023,8,CO
01/06/2023,5,CO
01/07/2023,9,CO
01/08/2023,8,CO
01/09/2023,5,CO
01/10/2023,6,CO
01/11/2023,10,CO
01/12/2023,7,CO
01/13/2023,2,CO
01/14/2023,2,CO
01/15/2023,7,CO
01/16/2023,13,CO
01/17/2023,3,CO
01/18/2023,3,CO
01/19/2023,2,CO
01/20/2023,2,CO
01/21/2023,2,CO
01/22/2023,3,CO
01/23/2023,3,CO
01/24/2023,7,CO
01/25/2023,2,CO
01/26/2023,3,CO
01/27/2023,5,CO
01/28/2023,11,CO
01/29/2023,6,CO
01/30/2023,6,CO
01/31/2023,7,CO
02/01/2023,3,CO
02/02/2023,3,CO
02/03/2023,2,CO
02/04/2023,2,CO
02/05/2023,5,CO
02/06/2023,7,CO
02/07/2023,10,CO
02/08/2023,9,CO
02/09/2023,3,CO
02/10/2023,2,CO
02/11/2023,2,CO
02/12/2023,2,CO
02/13/2023,5,CO
02/14/2023,9,CO
02/15/2023,5,CO
02/16/2023,5,CO
02/17/2023,2,CO
02/18/2023,3,CO
02/19/2023,5,CO
02/20/2023,9,CO
02/21/2023,3,CO
02/22/2023,7,CO
02/23/2023,2,CO
02/24/2023,3,CO
02/25/2023,3,CO
02/26/2023,3,CO
02/27/2023,7,CO
02/28/2023,6,CO
03/01/2023,11,CO
03/02/2023,3,CO
03/03/2023,2,CO
03/04/2023,3,CO
03/05/2023,5,CO
03/06/2023,10,CO
03/07/2023,10,CO
03/08/2023,3,CO
03/09/2023,7,CO
03/10/2023,3,CO
03/11/2023,5,CO
03/12/2023,5,CO
03/13/2023,3,CO
03/14/2023,2,CO
03/15/2023,6,CO
03/16/2023,10,CO
03/17/2023,3,CO
03/18/2023,2,CO
03/19/2023,2,CO
03/20/2023,5,CO
03/21/2023,9,CO
03/22/2023,7,CO
03/23/2023,3,CO
03/24/2023,6,CO
03/25/2023,5,CO
03/26/2023,8,CO
03/27/2023,3,CO
03/28/2023,6,CO
03/29/2023,5,CO
03/30/2023,10,CO
03/31/2023,5,CO
04/01/2023,2,CO
04/02/2023,6,CO
04/03/2023,10,CO
04/04/2023,2,CO
04/05/2023,3,CO
04/06/2023,6,CO
04/07/2023,7,CO
04/08/2023,2,CO
04/09/2023,2,CO
04/10/2023,3,CO
04/11/2023,8,CO
04/12/2023,9,CO
04/13/2023,6,CO
04/14/2023,3,CO
04/15/2023,7,CO
04/16/2023,3,CO
04/17/2023,3,CO
04/18/2023,6,CO
04/19/2023,8,CO
04/20/2023,8,CO
04/21/2023,6,CO
04/22/2023,3,CO
04/23/2023,6,CO
04/24/2023,2,CO
04/25/2023,5,CO
04/26/2023,3,CO
04/27/2023,2,CO
04/28/2023,3,CO
04/29/2023,6,CO
04/30/2023,3,CO
05/01/2023,2,CO
05/02/2023,2,CO
05/03/2023,2,CO
05/04/2023,6,CO
05/05/2023,7,CO
05/06/2023,3,CO
05/07/2023,3,CO
05/08/2023,3,CO
