Date,Value,Type
7/20/23,1,SO2
7/21/23,1,SO2
7/22/23,1,SO2
7/23/23,1,SO2
7/24/23,1,SO2
7/25/23,1,SO2
7/26/23,1,SO2
7/27/23,1,SO2
7/28/23,1,SO2
7/29/23,4,SO2
7/30/23,1,SO2
7/31/23,1,SO2
